Name,Url,Rating,Tags,Description
Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics,4.8,"Algorithms, Application Development, Big Data, Budget Management, Business Analysis, Business Communication, Change Management, Cloud Computing, Communication, Computational Logic, Computer Networking, Computer Programming, Computer Programming Tools, Cryptography, Data Analysis, Data Analysis Software, Data Management, Data Mining, Data Model, Data Structures, Data Type, Data Visualization, Data Visualization Software, Database Administration, Database Design, Databases, Decision Making, Design and Product, Entrepreneurship, Extract, Transform, Load, Feature Engineering, Finance, Financial Analysis, General Statistics, Ggplot2, Interactive Data Visualization, Leadership and Management, Machine Learning, Mathematical Theory & Analysis, Mathematics, Network Security, Other Programming Languages, Plot (Graphics), Privacy, Probability & Statistics, Problem Solving, Product Design, Programming Principles, Project Management, R Programming, Research and Design, SQL, Security Engineering, Security Strategy, Small Data, Software, Software Engineering, Software Security, Spreadsheet Software, Statistical Analysis, Statistical Programming, Storytelling, Strategy and Operations, Theoretical Computer Science, Visual Design","Prepare for a new career in the high-growth field of data analytics, no experience or degree required. Get professional"
Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management,4.8,"Agile Software Development, Analysis, Application Development, Budget, Budget Management, Business Analysis, Business Process Management, Business Psychology, Change Management, Communication, Culture, Data Analysis, Data Visualization, Design and Product, Entrepreneurship, Finance, Human Resources, Leadership Development, Leadership and Management, Marketing, Operations Management, Operations Research, Organizational Development, Planning, Probability & Statistics, Procurement, Product Design, Project Management, Public Relations, Research and Design, Risk Management, Sales, Software, Software Engineering, Software Engineering Tools, Software Testing, Spreadsheet Software, Statistical Tests, Storytelling, Strategy, Strategy and Operations, Supply Chain Systems, Supply Chain and Logistics, User Experience, Vendor Management, Writing","Prepare for a new career in the high-growth field of project management, no experience or degree required. Get professional"
Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design,4.8,"Accounting, Advertising, Analysis, Brand Management, Business Analysis, Business Communication, Business Psychology, Change Management, Collaboration, Communication, Computer Programming, Data Analysis, Design and Product, Entrepreneurship, Experience, Finance, Financial Analysis, Human Computer Interaction, Interactive Design, Investment Management, Leadership and Management, Marketing, Operating Systems, Planning, Problem Solving, Product Design, Research and Design, Sales, Social Media, Software Architecture, Software Engineering, Software Testing, Strategy, Strategy and Operations, Supply Chain and Logistics, Systems Design, Theoretical Computer Science, User Experience, User Experience Design, User Research, Visual Design, Web Design, Web Development","Prepare for a career in the high-growth field of UX design, no experience or degree required. With professional training"
Google IT Support,https://www.coursera.org/professional-certificates/google-it-support,4.8,"Cloud Computing, Cloud Platforms, Cloud Storage, Communication, Computer Architecture, Computer Graphics, Computer Networking, Cryptography, Cyberattacks, Data Architecture, Data Management, Database Administration, Database Application, Databases, Entrepreneurship, Hardware Design, Human Computer Interaction, Leadership and Management, Marketing, Mathematics, Microarchitecture, Network Architecture, Network Security, Networking Hardware, Operating Systems, Planning, Product Lifecycle, Sales, Security Engineering, Security Software, Security Strategy, Software, Software As A Service, Software Security, Strategy, Strategy and Operations, Supply Chain and Logistics, System Security, Systems Design, Theoretical Computer Science, Virtual Reality, Writing","Prepare for a career in the high-growth field of IT, no experience or degree required. Get professional training designed"
Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,4.8,"Accounting, Advertising, Analysis, Back-End Web Development, Big Data, Business Analysis, Cloud Computing, Communication, Customer Relationship Management, Customer Success, Customer Support, Data Analysis, Data Management, Data Visualization, Digital Marketing, E-Commerce, Entrepreneurship, Finance, Financial Analysis, General Statistics, Human Computer Interaction, Human Resources, Leadership and Management, Market Research, Marketing, Marketing Strategy, Media Strategy & Planning, Probability & Statistics, Research and Design, Sales, Social Media, Software As A Service, Software Engineering, Software Testing, Strategy, Strategy and Operations, Supply Chain and Logistics, User Experience, Web Development","Prepare for a new career in the high-growth fields of digital marketing and e-commerce, in under six months"
Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction,4.9,"Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Programming, Computer Vision, Data Management, Data Structures, Deep Learning, Econometrics, Feature Engineering, General Statistics, Linear Algebra, Machine Learning, Machine Learning Algorithms, Mathematics, Probability & Statistics, Probability Distribution, Python Programming, Regression, Statistical Machine Learning, Statistical Programming, Theoretical Computer Science",The Machine Learning Specialization is a foundational online program created in collaboration between DeepLearning.AI and Stanford Online. This beginner
IBM Data Science,https://www.coursera.org/professional-certificates/ibm-data-science,4.6,"Algebra, Algorithms, Business Analysis, Communication, Computational Logic, Computer Programming, Computer Programming Tools, Correlation And Dependence, Data Analysis, Data Management, Data Mining, Data Structures, Data Visualization, Database Administration, Database Application, Databases, Econometrics, Exploratory Data Analysis, Extract, Transform, Load, General Statistics, Geovisualization, Interactive Data Visualization, Logistic Regression, Machine Learning, Machine Learning Algorithms, Marketing, Mathematical Theory & Analysis, Mathematics, Modeling, Plot (Graphics), Probability & Statistics, Python Programming, R Programming, Regression, SPSS, SQL, Spreadsheet Software, Statistical Analysis, Statistical Machine Learning, Statistical Programming, Statistical Visualization, Supply Chain Systems, Supply Chain and Logistics, Theoretical Computer Science","Data science is one of the hottest professions of the decade, and the demand for data scientists who can analyze"
IBM Data Analyst,https://www.coursera.org/professional-certificates/ibm-data-analyst,4.6,"Algebra, Analysis, Apache, Big Data, Business Analysis, Computational Logic, Computer Programming, Computer Programming Tools, Correlation And Dependence, Data Analysis, Data Analysis Software, Data Management, Data Mining, Data Structures, Data Visualization, Data Visualization Software, Data Warehousing, Database Administration, Database Application, Databases, Econometrics, Exploratory Data Analysis, Extract, Transform, Load, General Statistics, Geovisualization, Leadership and Management, Machine Learning, Mathematical Theory & Analysis, Mathematics, Modeling, NoSQL, Operating Systems, Plot (Graphics), Probability & Statistics, Professional Development, Python Programming, Regression, Regression Analysis, SQL, Spreadsheet Software, Statistical Analysis, Statistical Machine Learning, Statistical Programming, Statistical Visualization, System Programming, Theoretical Computer Science",Gain the job-ready skills for an entry-level data analyst role through this eight-course Professional Certificate from IBM
Introduction to Data Science,https://www.coursera.org/specializations/introduction-data-science,4.6,"Analysis, Communication, Computer Programming, Data Analysis, Data Management, Data Mining, Database Administration, Database Application, Databases, General Statistics, Machine Learning, Marketing, Modeling, Probability & Statistics, Python Programming, R Programming, Regression, SPSS, SQL, Statistical Programming","Interested in learning more about data science, but donât know where to start? This 4-course Specialization from IBM"
Deep Learning,https://www.coursera.org/specializations/deep-learning,4.8,"Advertising, Algorithms, Applied Machine Learning, Artificial Neural Networks, Bayesian Statistics, Business Psychology, Communication, Computational Logic, Computer Architecture, Computer Graphic Techniques, Computer Graphics, Computer Networking, Computer Programming, Computer Vision, Deep Learning, Entrepreneurship, General Statistics, Hardware Design, Human Computer Interaction, Interactive Design, Leadership and Management, Linear Algebra, Machine Learning, Machine Learning Algorithms, Marketing, Markov Model, Mathematical Theory & Analysis, Mathematics, Modeling, Natural Language Processing, Network Architecture, Object Detection, Probability & Statistics, Project, Project Management, Python Programming, Regression, Sales, Statistical Machine Learning, Statistical Programming, Strategy, Strategy and Operations, Supply Chain Systems, Supply Chain and Logistics, Theoretical Computer Science, User Experience","The Deep Learning Specialization is a foundational program that will help you understand the capabilities, challenges, and consequences of deep"
Data Science Fundamentals with Python and SQL,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,4.5,"Basic Descriptive Statistics, Business Analysis, Computational Logic, Computer Programming, Correlation And Dependence, Data Analysis, Data Management, Data Visualization, Database Administration, Database Application, Databases, Extract, Transform, Load, General Statistics, Machine Learning, Mathematical Theory & Analysis, Mathematics, Plot (Graphics), Probability & Statistics, Probability Distribution, Python Programming, R Programming, Regression, SPSS, SQL, Statistical Analysis, Statistical Programming, Statistical Tests, Statistical Visualization, Theoretical Computer Science","Data Science is one of the hottest professions of the decade, and the demand for data scientists who can analyze"
IBM Data Engineering,https://www.coursera.org/professional-certificates/ibm-data-engineer,4.6,"Algorithms, Apache, Big Data, Business Analysis, Cloud Computing, Cloud Engineering, Computational Logic, Computational Thinking, Computer Architecture, Computer Networking, Computer Programming, Computer Programming Tools, Data Architecture, Data Management, Data Model, Data Visualization, Data Visualization Software, Data Warehousing, Database Administration, Database Application, Database Theory, Databases, DevOps, Distributed Computing Architecture, Extract, Transform, Load, Graph Theory, Hardware Design, IBM Cloud, Kubernetes, Leadership and Management, Machine Learning, Machine Learning Algorithms, Mathematical Theory & Analysis, Mathematics, Microarchitecture, Network Architecture, Network Security, NoSQL, PostgreSQL, Professional Development, Programming Principles, Project Management, Python Programming, SQL, Security Engineering, Security Strategy, Software Architecture, Software Engineering, Statistical Programming, Strategy and Operations, Theoretical Computer Science","This Professional Certificate is for anyone who wants to develop job-ready skills, tools, and a portfolio for an entry"
Key Technologies for Business,https://www.coursera.org/specializations/key-technologies-for-business,4.7,"Analysis, Applied Machine Learning, BlockChain, Cloud Computing, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Communication, Computer Architecture, Computer Graphics, Computer Networking, Computer Programming, Computer Vision, Data Analysis, Data Mining, Deep Learning, DevOps, Ethics, Finance, General Statistics, Human Computer Interaction, IBM Cloud, Interactive Design, Machine Learning, Machine Learning Algorithms, Network Architecture, Network Security, Operating Systems, Probability & Statistics, Regression, Security, Security Engineering, Software Architecture, Software As A Service, Software Engineering, Software Framework, System Programming, Theoretical Computer Science","In this Specialization, we will cover 3 key technologies that are foundational and driving significant growth and innovation. These are"
IBM DevOps and Software Engineering,https://www.coursera.org/professional-certificates/devops-and-software-engineering,4.6,"Agile Software Development, Algorithms, Application Development, BlockChain, Cloud Computing, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Collaboration, Communication, Computational Logic, Computer Architecture, Computer Graphics, Computer Networking, Computer Programming, Computer Programming Tools, Continuous Delivery, Continuous Integration, Data Management, Design and Product, DevOps, Distributed Computing Architecture, Entrepreneurship, Extract, Transform, Load, Finance, Full-Stack Web Development, Human Computer Interaction, IBM Cloud, Interactive Design, Kubernetes, Leadership and Management, Mathematical Theory & Analysis, Mathematics, Network Architecture, Network Security, Operating Systems, Planning, Product Design, Product Development, Programming Principles, Project Management, Python Programming, Security Engineering, Software Architecture, Software As A Service, Software Engineering, Software Engineering Tools, Software Framework, Software Testing, Statistical Programming, Strategy and Operations, Supply Chain and Logistics, System Programming, Systems Design, Theoretical Computer Science, Web Development","DevOps professionals are in high demand! According to a recentâ¯GitLab report, DevOps skills are expected to grow 122% over"
IBM Full Stack Software Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,4.6,"Application Development, Back-End Web Development, BlockChain, Cloud Applications, Cloud Computing, Cloud Foundry, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Computational Logic, Computer Architecture, Computer Graphics, Computer Networking, Computer Programming, Computer Programming Tools, Continuous Delivery, Continuous Integration, Data Management, Database Administration, Database Application, Database Design, Databases, DevOps, Devops Tools, Distributed Computing Architecture, Extract, Transform, Load, Finance, Front-End Web Development, Full-Stack Web Development, HTML and CSS, Human Computer Interaction, IBM Cloud, Interactive Design, Javascript, Kubernetes, Mathematical Theory & Analysis, Mathematics, Network Architecture, Network Security, NoSQL, Operating Systems, Other Web Frameworks, Python Programming, React (web framework), SQL, Security, Security Engineering, Software Architecture, Software As A Service, Software Engineering, Software Framework, Software Testing, Statistical Programming, System Programming, Systems Design, Theoretical Computer Science, Web Design, Web Development, Web Development Tools",This Professional Certificate will equip you with all the key skills and technical know-how to kickstart your career as
Data Engineering Foundations,https://www.coursera.org/specializations/data-engineering-foundations,4.6,"Apache, Big Data, Computational Logic, Computer Architecture, Computer Networking, Computer Programming, Computer Programming Tools, Data Architecture, Data Management, Data Model, Data Warehousing, Database Administration, Database Application, Databases, Distributed Computing Architecture, Extract, Transform, Load, Leadership and Management, Mathematical Theory & Analysis, Mathematics, Network Security, NoSQL, PostgreSQL, Professional Development, Project Management, Python Programming, SQL, Security Engineering, Security Strategy, Statistical Programming, Strategy and Operations, Theoretical Computer Science","Data engineering is one of the fastest-growing tech occupations, where the demand for skilled data engineers far outweighs the"
